Country Name,iso3c,gnipc
Serbia,SRB,8890
Sub-Saharan Africa (excluding high income),SSA,1563.251889
South Sudan,SSD,
Sub-Saharan Africa,SSF,1564.360306
Small states,SST,12318.85132
Sao Tome and Principe,STP,2220
Suriname,SUR,4470
Slovak Republic,SVK,20660
Slovenia,SVN,28360
Sweden,SWE,60530
Eswatini,SWZ,3570
Sint Maarten (Dutch part),SXM,31430
Seychelles,SYC,14950
Syrian Arab Republic,SYR,700
Turks and Caicos Islands,TCA,21460
Chad,TCD,630
East Asia & Pacific (IDA & IBRD countries),TEA,9427.265346
Europe & Central Asia (IDA & IBRD countries),TEC,9497.799254
Togo,TGO,920
Thailand,THA,7090
Tajikistan,TJK,1130
Turkmenistan,TKM,7200
Latin America & the Caribbean (IDA & IBRD countries),TLA,8161.792937
Timor-Leste,TLS,2050
Middle East & North Africa (IDA & IBRD countries),TMN,3473.366744
Tonga,TON,5240
South Asia (IDA & IBRD),TSA,2084.176162
Sub-Saharan Africa (IDA & IBRD countries),TSS,1564.360306
Trinidad and Tobago,TTO,16370
Tunisia,TUN,3630
Turkiye,TUR,10010
Tuvalu,TUV,7510
Tanzania,TZA,1130
Uganda,UGA,860
Ukraine,UKR,4060
Upper middle income,UMC,9333.253297
Uruguay,URY,16200
United States,USA,71500
Uzbekistan,UZB,2250
St. Vincent and the Grenadines,VCT,8620
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,3540
Vanuatu,VUT,3500
World,WLD,12094.31689
Samoa,WSM,3910
Kosovo,XKX,5130
"Yemen, Rep.",YEM,
South Africa,ZAF,6330
Zambia,ZMB,1040
Zimbabwe,ZWE,1740
