country,iso3c,indicator_name,indicator_code,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,0.00192948,0.00346122,0.02314889,0.345188503,14.52310475,37.92910932,45.3600933,53.40515695,59.11870647,59.15051475,58.33797832,60.68781429,62.11846823,64.97499576,69.05451201,71.27030327,74.56157479,77.75122616,82.40818434,84.46612526,91.0280582,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.6894147,113.8902586,115.9477917,123.9487849,133.8469655,
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.62068966,71.58469945,69.25170068,68.30601093,70.22792023,72.44755245,80.45977011,101.1994003,85.65022422,85.20179372,100,102.2435897,101.2598425,102.7480916,104.1925466,102.1702838,103.902439,105.7189542,112.8325509,118.29653,135.0387597,
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,19.60539284,21.29837382,24.46022141,27.24838804,29.52434057,32.85253006,34.5518214,35.88007625,38.53924194,41.67053229,45.36939398,50.9818579,53.31718723,54.19717669,55.60977288,56.97849587,58.01164927,59.89388828,61.33335615,63.15936327,64.31346705,65.67042141,66.65824585,67.69364849,68.69726662,69.17938564,68.58106597,69.63688322,72.74383205,73.0403909,75.76781417,79.08695007,80.53972697,81.72636496,92.98427152,94.93931148,94.36049286,96.03859251,98.71631209,98.25412103,98.56072743,100,100.7184523,101.52427,106.5129295,113.4350517,
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.111745138,7.476762372,7.864527226,8.351268053,9.101405219,10.59222175,12.3388059,14.0686689,15.67498077,16.96621066,18.4310104,20.27719742,22.20861739,24.80901977,27.32922122,29.47803763,30.85775909,32.87847164,35.18887633,37.71536273,41.19582264,43.70554604,45.02505361,45.6915024,46.08866617,46.55876384,47.62643896,48.91778094,49.54042956,50.10301371,50.34120395,51.6252825,54.01590387,55.55012132,57.2086367,59.05777018,61.31703057,64.45363505,67.66728036,70.75955479,74.26155891,75.11694723,79.77577436,81.21585797,81.08284141,82.22196866,81.70979054,81.1739607,84.13781098,85.71860096,88.68765563,90.56235785,93.35056833,100,
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,22.39799668,23.84297878,25.32228649,27.24676294,29.43891267,32.23623923,34.31798331,36.24834222,38.13278919,40.41809359,42.08104398,44.42943099,47.41360822,49.95274416,51.68749475,54.24590862,55.85321262,57.50143925,58.90271954,59.80207892,61.57506736,63.42212272,65.73187495,68.0187482,69.89408266,71.65886814,72.95870139,73.67822412,74.61172393,74.94143704,75.13354918,76.15840153,77.64128588,78.53074108,79.55757181,80.94164989,82.99578235,84.56619623,86.44456017,88.13569436,89.80081047,90.5848209,92.24561228,94.14055457,95.6692918,97.75077551,100,101.8482947,102.8724141,104.7632754,106.4477392,109.3425803,111.6040146,117.5159959,
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,0.002554933,0.004689567,0.054648898,0.462944213,6.879663017,44.41898128,56.15410432,61.34414991,60.75209705,62.06564346,69.81936391,71.57532805,74.59178882,79.78447062,87.16610201,100,111.3012191,134.7071184,172.1253337,139.6883881,158.6103212,194.3362828,199.9388675,200.8287245,198.2480844,180.7037384,207.2155071,240.7272284,270.059545,269.4078699,249.4825559,303.3429063,416.3346781,
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762198,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3544746,138.3198445,152.7864356,165.8673306,179.7408891,205.4331807,221.7714952,233.5379279,283.3252879,286.0825429,318.8366556,309.7470711,312.3857056,331.024206,359.2166098,425.0672012,
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,19.9757497,21.31022414,22.45207236,23.8705537,25.49541905,28.5977884,32.28396405,34.72955927,37.32665654,38.977708,40.73374783,42.41466543,44.5944385,47.97042312,50.66293119,53.41834476,55.89040801,57.4535404,58.42112173,59.68826996,62.55178926,64.3109981,66.16098402,68.42668316,71.15911932,72.64940815,73.53629003,73.8867785,74.44656277,75.7908023,76.24471173,77.78075095,79.3229898,80.62389301,82.11550653,83.68801105,85.43129443,87.36606306,89.05373174,90.75362983,91.23750949,92.9637942,94.64392836,96.50000875,97.72677298,98.68708077,100,101.9208507,103.7862803,105.3947928,107.2582754,108.973862,112.4304932,119.0545802,
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.72267837,7.061975103,7.173080011,7.554488892,7.918822245,9.10036674,10.39689014,11.85613838,12.46991725,14.00801407,15.82971229,17.44241487,18.74517981,21.77220468,22.80555918,23.25108424,22.11713311,21.31999346,21.96566091,21.83155903,22.31729691,22.80305451,22.97558701,23.67062941,24.23359316,32.72264818,37.6635887,40.26512338,41.74185047,43.9256191,65.16038057,67.98902897,69.328607,71.79269354,73.9907734,74.56028852,77.76165689,79.39023255,79.69997611,84.82799388,86.98236371,87.74857888,91.0243062,98.03218386,99.40198599,99.15568512,100,100.6835911,100.3131785,100.9857258,100.5842532,103.4791005,105.1541426,109.5062412,
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,13.53994231,13.78141733,14.2468813,15.28642569,15.69577461,17.42461857,18.84928256,20.11699212,23.87122043,27.34026389,29.46009822,32.02146773,36.37146224,39.66181255,41.8072457,44.5251704,44.86225564,42.01544186,42.53530866,43.98514873,46.11034416,46.9449485,45.08227587,45.18463951,44.5331494,51.05234017,54.50836358,54.69843705,55.54965405,59.96047214,70.38809262,69.81106991,72.57667239,74.79533117,75.905839,75.97464657,78.81563141,78.29322027,80.2445607,87.59480232,89.70189956,93.09228936,99.36485229,105.1518608,102.9129977,102.2745389,100,102.6042992,104.0574811,105.175024,106.1180873,113.0776676,112.8949963,119.5425467,
Bangladesh,BGD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.3141906,1.320897034,1.36003858,1.419907746,2.291813219,3.312649093,5.981642397,4.927053762,4.768887654,5.990623526,6.743315777,7.927109386,8.711472311,9.570058684,10.3823419,11.20001013,13.27146496,14.36694541,15.96449675,17.16116914,18.59206283,19.80663308,20.34726146,20.8726607,20.90512148,21.73426382,23.28716364,27.74507501,28.79945228,30.16345556,31.3039472,32.38288762,33.43894544,34.74067926,36.76113347,38.43822651,40.20114223,42.56333554,45.31771969,48.88013027,52.18655565,55.9151092,60.30972972,65.23376204,69.91425409,73.8775453,78.21620882,100,105.0475974,111.1461639,115.2120773,119.6374247,124.567892,130.8573521,
Bulgaria,BGR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,0.048113781,0.049471041,0.05041914,0.050093799,0.051464741,0.051582686,0.052276726,0.052310099,0.049490718,0.052821287,0.066654126,0.217650958,0.347324459,0.524776185,0.906314543,2.138500091,3.485033283,35.31081375,47.29919821,48.86912463,52.47607529,55.68642135,57.82944659,59.09557041,62.3940236,66.50844686,71.00207297,78.84881858,85.23829808,88.59499873,89.2719797,94.72902398,95.78258024,95.85149726,97.13665817,100,103.3235597,108.2966472,112.8825829,118.7967911,123.8576599,132.6942744,154.1668034,
Bahrain,BHR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,40.39822513,48.03824255,54.63100815,52.61514189,52.39495801,51.43875289,42.49219048,42.77223461,43.63171174,45.3659241,47.55559915,46.66035317,45.01200513,43.65002525,46.85009131,47.36107049,47.4542401,47.89637843,44.51613436,45.69867597,59.40429226,57.40603409,59.36607676,64.47309138,71.55938341,81.3880417,88.58472778,96.05741004,106.974423,93.07422935,100,109.7367535,113.0450597,113.479311,111.5832045,101.2560038,101.5063884,107.1092217,111.77925,111.8723194,105.0849397,116.1490707,125.1280195,
"Bahamas, The",BHS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,10.23314083,10.86200271,11.35975959,12.13070772,12.80408615,14.49841336,16.04341913,16.42680314,16.71077378,17.08641256,18.54800078,20.4040743,24.01321382,24.90050388,26.38879879,27.22570252,29.52919492,30.90536969,32.94090478,33.42985013,34.03599059,35.76287841,36.67717066,38.10962156,37.78493378,38.60991739,38.91973701,39.30280205,68.08403578,70.15986447,73.63343651,74.31285769,74.57529408,77.52882945,78.42419366,79.36136089,83.37387796,84.06437584,86.5425649,87.83084677,86.92058516,86.57936488,85.83598984,88.64010319,88.4866489,91.72342897,96.5955827,97.987842,99.66408563,100,103.9746805,101.5363797,102.570582,100.3415412,
Bosnia and Herzegovina,BIH,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,47.35641606,51.54624334,42.75412258,48.31706762,47.55272768,51.52610477,62.77747022,65.7444073,69.03679937,70.01081298,71.52442686,75.95108491,81.87536627,86.9496489,93.32771109,93.50080276,94.81569891,97.12211724,97.89498917,97.67558496,98.65267019,100,101.333306,103.1357286,106.0148913,108.6350543,108.7025629,113.9858703,127.4024847,
Belarus,BLR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,6.9949E-07,1.47156E-06,1.66401E-05,0.000192811,0.003944436,0.030037044,0.046171241,0.079252739,0.13994484,0.583280904,1.664046529,2.98753882,4.328756696,5.657049608,6.939792536,8.256421117,9.143872096,10.32093552,12.51037091,13.66866386,15.21192089,26.01829023,45.60417461,55.29838886,65.31014192,75.77494227,82.09533362,89.17485348,100,108.5769085,121.4735424,140.0910819,159.0422924,
Belize,BLZ,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,17.57517679,18.87040447,19.82598357,19.58108606,22.45485929,27.32994912,31.94250426,32.31223378,33.03683416,35.46477122,36.73633726,42.22797285,41.36466315,38.47741198,41.45585425,45.36890546,44.54998015,46.42213124,50.87008495,52.76567501,53.84493675,72.7093865,70.92307094,73.3414813,74.71822224,76.68920015,80.76577982,82.98558872,81.7407533,83.7090809,82.30920288,83.47313541,81.84114506,82.43032706,79.00366203,80.65708498,83.08664015,85.78475061,89.0755294,92.20881574,89.92821403,91.86946408,96.37037257,97.08968723,98.94754981,100.0011634,100.0484784,102.1514385,105.2486017,105.3494876,105.211836,104.6335313,105.113586,112.8550274,
Bermuda,BMU,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.898473736,6.268279691,6.866662932,7.520765502,8.484341745,9.755631077,10.3757992,10.66462505,11.65313993,12.22632412,13.01068724,14.29277169,16.82393455,18.87790008,20.95397469,23.11151169,24.87124257,26.32251357,28.03035884,29.40188821,31.05918831,32.9331669,35.05096422,36.03725668,37.9098623,38.65273182,40.26782211,52.09234631,54.18849185,55.67409704,57.18406274,54.76154218,54.01174948,58.64619647,60.30279876,63.13229207,67.40153424,80.59818969,85.8974359,90.28586211,91.22807018,93.26813235,92.1943774,98.36974459,100,103.0118909,106.0528226,110.6907287,110.5857565,112.3674224,115.0859858,114.6083124,115.1331093,118.4317911,
Bolivia,BOL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.000111675,0.000116097,0.000119045,0.000141637,0.000202462,0.000327069,0.000348967,0.000378975,0.000426501,0.000486653,0.000582997,0.000729032,0.000943994,0.002438174,0.008904164,0.137426618,17.09403004,56.42828586,64.65789644,75.98811759,86.0082309,100,117.6894402,133.22351,141.9591863,153.2480757,170.760165,190.5345454,201.4046238,215.6059191,220.8053979,232.2771331,236.620933,243.2954355,258.6960178,279.308165,295.9012978,336.3323029,361.1312738,398.6209677,388.9747615,423.1170528,484.9021037,519.331489,550.4674286,561.7492461,535.7930477,528.5337453,560.5702896,577.7028074,573.699308,563.0607044,585.3360597,615.3313981,
Brazil,BRA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.76745E-12,9.03005E-12,1.07805E-11,1.29223E-11,1.67447E-11,2.25394E-11,3.01868E-11,4.26249E-11,6.19758E-11,8.56677E-11,1.32242E-10,2.54092E-10,5.09527E-10,1.02433E-09,2.37115E-09,7.15471E-09,2.49373E-08,6.21386E-08,1.90274E-07,1.3851E-06,1.94527E-05,0.000551867,0.002851377,0.030481591,0.638939939,14.95227353,29.00412759,34.35720008,37.01267612,38.83531413,41.94621731,44.29774957,47.94128126,52.6386218,60.05594133,64.71151439,69.52037247,74.22987307,79.00956287,85.945459,92.23106532,100,108.3185922,116.9224755,125.6969981,135.5600767,145.8167894,157.6332051,163.4205262,170.7638836,177.9773921,189.4969781,211.06943,228.5527457,
Barbados,BRB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,11.72400994,15.16626466,15.62443487,17.14786973,18.29977894,20.5649866,29.7530323,33.38298823,36.6697995,38.74688279,40.75522792,42.1875,44.07475577,47.30886006,48.61333333,51.93050193,53.86663117,56.28808864,57.48274343,60.46918257,61.80545636,62.43349202,64.01831403,64.60529699,70.22806148,73.34156887,72.37137788,74.00363416,74.67548077,75.50876367,79.90952326,85.23767016,88.75291988,96.35722679,98.01120362,96.31187318,100,103.5388293,102.9073269,105.8821536,106.3816325,104.444518,104.2141389,106.92554,110.4143035,115.0987512,117.0261894,122.5368063,127.4301364,
Brunei Darussalam,BRN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,27.11505936,28.61152968,30.22153673,32.75443377,32.04319439,36.10367265,67.1939775,73.25594603,69.71149859,61.75042084,60.96361453,59.46089737,40.49004816,44.83461442,41.3962151,44.99687857,48.78109976,47.39704297,48.21553082,46.79245448,42.69173853,43.91827112,45.88965507,49.82921468,44.02482195,49.12904945,63.38419156,59.83981219,60.06373846,63.73039609,73.85471175,87.71452266,96.52783359,97.60937747,109.9986722,85.69840738,100,120.1805054,121.6451485,118.2131481,116.0303929,95.59418819,86.8302453,91.13154673,99.53010535,96.21158912,85.75939334,99.02287996,123.0227849,
Bhutan,BTN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,8.315454853,8.603382073,9.230323364,9.891063085,10.89635998,11.60556207,12.43947252,12.57645259,14.4585026,15.2693232,16.21683861,17.66683227,19.24329483,20.88156326,23.45861024,25.40201131,27.46278321,31.00737027,34.32400145,36.44188119,39.12043095,41.21680723,43.17675692,44.5006203,46.14934375,48.87343588,51.52230814,53.04398923,55.96696248,58.62891131,62.06123025,67.34282657,73.52485071,77.84064417,83.22796475,86.18844019,89.96643401,100.000004,101.1508628,104.2946339,109.809075,118.1853333,,
Botswana,BWA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.237858015,1.311864512,1.373052234,1.52100441,1.67168442,1.885608607,2.196117091,2.444619377,2.565319606,2.885133162,3.515718303,3.873979931,3.870558322,4.013591645,4.364599717,5.037925863,6.191291453,7.061864414,7.958302414,9.764603053,11.09735197,11.79648718,12.40727507,13.2310289,14.9596232,16.37537273,17.54707893,20.37429858,21.39110006,23.52320893,26.87178676,30.67977878,33.2301351,33.62469998,34.72055732,38.21996892,44.13325036,46.40805389,49.20608719,53.81804101,61.94937317,66.70898158,75.14988354,77.413279,78.59934411,86.14802685,89.36162166,100.0000433,97.35012288,97.40580419,97.90022187,102.1872665,110.7197994,126.8451869,
Central African Republic,CAF,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,10.96727303,11.45980007,12.02571574,12.5842185,12.86100716,13.55305791,16.17235119,20.37661699,22.69394018,24.78822633,27.49674509,32.51912984,37.03042614,44.77505614,49.7463775,50.45247811,67.67956523,65.35880774,63.85336487,65.52891288,67.13843719,68.37153201,68.10500911,70.00013111,67.59701239,84.09918014,92.42329669,89.14869702,89.88273045,89.51047745,93.16672578,101.0920475,101.5226376,99.11464074,100.4392273,95.97994058,100,103.3340459,105.2335651,112.6810189,113.482889,118.2620045,123.0032643,130.6061406,133.8549511,149.7753957,153.8317074,158.4160678,168.6239339,166.5597794,170.4370197,173.8153551,179.3527064,190.0563404,
Canada,CAN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,16.28306697,15.77024751,16.54794781,17.51203854,19.25077498,22.24802056,24.69479879,26.86384828,28.66843671,30.62551466,33.70951949,37.0993116,41.13236194,44.76314777,47.37036615,49.0498305,50.68730474,52.27502325,54.779834,57.26683746,59.94764315,61.95726902,63.85116017,64.79031549,65.62549044,66.5807554,68.08769477,69.22835091,70.02041207,69.89701842,71.24173615,74.35799148,75.52814592,76.47793007,78.96326167,81.53815406,84.07940356,86.24038942,89.08679283,92.64698299,90.49301284,93.07083098,96.09047237,97.26128068,98.95434466,100.8752454,100,100.7169781,103.3064264,105.0121376,106.6356996,107.7775656,116.0385709,124.9199542,
Central Europe and the Baltics,CEB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,56.49630072,59.69461715,64.08100186,65.597725,68.06396199,69.60951129,71.72187733,73.29508386,75.34019173,77.94580225,81.53413182,85.94439843,87.77040323,89.80845305,90.87213282,91.54254899,91.79888868,91.36148228,91.18857239,91.22848614,92.47584001,93.37690917,93.14396749,94.24284205,94.52239203,95.39638226,97.44765059,99.764041,101.2105478,101.6736305,101.9916012,101.9707409,102.0357169,101.9471064,101.2812656,100,99.41670841,99.05098494,99.80802092,99.70432522,99.00720492,100.2410248,102.744203,
Channel Islands,CHI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.18095063,88.85075952,92.75816621,95.30673229,97.44327587,100.0011719,,
Chile,CHL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.000248069,0.000348724,0.00041035,0.000769795,0.003962985,0.030856135,0.13798901,0.479247572,0.966995183,1.511264946,2.236334882,2.887503267,3.221554262,3.468207644,4.5420921,5.256905301,7.448083613,9.046062256,11.38432633,13.85676079,15.76290121,19.30497283,23.43449615,26.58980506,29.82430054,34.13808288,38.12565611,39.68109756,41.00270845,41.32211554,42.2261475,44.15167819,46.04011037,47.57815409,49.62415787,53.11013671,56.89174593,63.91781733,67.17043978,67.37942885,69.79012671,75.97174635,78.44881643,79.04774701,80.83483524,85.56601055,89.80526347,93.90097265,98.43469179,100,102.5725982,112.4579438,120.1026563,128.0802424,
China,CHN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,16.19818791,15.77467488,15.87972434,15.89150481,15.92463304,15.96886142,15.78822563,15.77144492,15.94394853,16.21103239,16.79463844,17.42473583,17.83558869,17.81055554,18.0165872,18.90735659,20.83768407,21.81059987,22.9191272,25.69409754,27.90442332,29.49810749,31.47876882,34.05698167,39.22882877,47.316632,53.78277928,57.28227986,58.20828729,57.68426623,56.95567995,58.13055751,59.32051878,59.67768707,61.23120332,65.4879921,68.04447583,70.71627579,76.19656546,82.13635141,81.96424835,87.60451995,94.67918456,96.88636235,98.98237288,100.0029442,100,101.407346,105.6995965,109.3988156,110.8064506,111.3521656,116.4212799,119.0395647,
Cote d'Ivoire,CIV,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.216891937,5.372921262,5.322357029,5.456034222,6.177756736,7.826857704,8.164504719,9.652320229,12.42748699,12.97843534,13.82740634,17.16585068,17.67687654,19.1442902,20.87623238,24.61514387,24.69973555,24.2007009,23.21447229,23.12604232,22.89191276,21.85644893,22.00146412,21.9962196,23.34990969,34.18101502,37.95589448,59.31890522,61.64508078,64.96612407,64.46204416,65.49409263,69.997446,73.20482512,75.60456764,73.71191501,74.60761425,75.62193331,77.95755411,82.14616164,83.13830597,84.39886387,89.2174655,88.85693919,91.4131138,95.44199354,100,98.82016756,97.79078036,99.43559828,100.7860149,102.3300549,105.0520344,107.9409653,
Cameroon,CMR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,8.382186394,9.043038251,9.354130042,10.10025132,10.75975057,11.90631958,12.6195168,15.1023365,15.99107485,16.53633958,18.66171673,21.32024524,23.19646814,26.09184004,29.42196035,33.40928084,37.14681982,37.21340017,36.3231406,36.61877415,35.9526482,36.5433856,37.84751434,37.36394762,58.19635836,61.61974304,65.70791354,65.97768335,70.04442309,70.7910055,72.33976298,73.44769199,75.26137912,77.3495007,78.86007028,78.97007048,80.04180644,81.88250784,82.28431188,86.3495986,89.4612195,90.07688006,92.40901034,94.20385702,97.08033333,99.03573766,99.34254214,100,101.0251412,102.9415796,104.1457612,104.8805846,107.9000249,113.6582306,
"Congo, Dem. Rep.",COD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.14052E-13,1.10817E-13,1.19908E-13,1.32116E-13,1.55748E-13,1.84154E-13,2.06741E-13,3.25401E-13,4.46683E-13,5.73604E-13,1.15736E-12,1.75233E-12,2.33464E-12,3.34986E-12,5.96997E-12,1.13193E-11,1.42409E-11,1.82928E-11,3.1787E-11,6.08995E-11,1.28049E-10,2.67565E-10,6.52443E-09,2.58061E-07,4.53579E-06,0.001218579,0.006902121,0.050950685,0.149103528,0.189265125,1.025632428,28.00102347,48.4584904,63.82926247,72.39224751,77.00034581,100,113.3252254,136.2979088,164.1917073,217.8133188,263.0887034,299.3730032,317.1557363,325.945046,329.1837359,325.3787716,339.5302393,485.7613628,636.3406437,673.8555042,700.1463107,804.9962632,872.9819166,
